timestamp,container_name,service_name,cpu_percent,memory_usage_mb,memory_limit_mb,memory_percent,network_rx_mb,network_tx_mb,pids
2026-01-30T03:47:12.379763,docker-compose-orders-db-1,orders-db,0.45,32.48,7799.808,0.42,0,0,21
2026-01-30T03:47:12.379763,docker-compose-front-end-1,front-end,0,65.1,7799.808,0.83,0,0,21
2026-01-30T03:47:12.379763,docker-compose-user-db-1,user-db,0.61,35.39,7799.808,0.45,0,0,18
2026-01-30T03:47:12.379763,docker-compose-orders-1,orders,0.16,367.5,7799.808,4.71,0,0,84
2026-01-30T03:47:12.379763,docker-compose-catalogue-db-1,catalogue-db,0.09,195.9,7799.808,2.51,0,0,27
2026-01-30T03:47:12.379763,docker-compose-rabbitmq-1,rabbitmq,3.28,112.1,7799.808,1.44,0,0,417
2026-01-30T03:47:12.379763,docker-compose-queue-master-1,queue-master,0.2,657.7,7799.808,8.43,0,0,51
2026-01-30T03:47:12.379763,docker-compose-shipping-1,shipping,0.5,353.7,7799.808,4.53,0,0,82
2026-01-30T03:47:12.379763,docker-compose-payment-1,payment,0,9.859,7799.808,0.13,0,0,30
2026-01-30T03:47:12.379763,docker-compose-user-1,user,0,9.809,7799.808,0.13,0,0,30
2026-01-30T03:47:19.350028,docker-compose-edge-router-1,edge-router,0.02,7.059,7799.808,0.09,0,0,31
2026-01-30T03:47:19.350028,docker-compose-carts-1,carts,0.17,379.4,7799.808,4.86,0,0,84
2026-01-30T03:47:19.350028,docker-compose-catalogue-1,catalogue,0,9.754,7799.808,0.13,0,0,30
2026-01-30T03:47:19.350028,docker-compose-carts-db-1,carts-db,0.48,55.26,7799.808,0.71,0,0,21
2026-01-30T03:47:19.350028,docker-compose-orders-db-1,orders-db,0.39,32.23,7799.808,0.41,0,0,21
2026-01-30T03:47:19.350028,docker-compose-front-end-1,front-end,0,65.2,7799.808,0.84,0,0,21
2026-01-30T03:47:19.350028,docker-compose-user-db-1,user-db,0.58,35.39,7799.808,0.45,0,0,18
2026-01-30T03:47:19.350028,docker-compose-orders-1,orders,0.15,367.5,7799.808,4.71,0,0,84
2026-01-30T03:47:19.350028,docker-compose-catalogue-db-1,catalogue-db,0.07,195.9,7799.808,2.51,0,0,27
2026-01-30T03:47:19.350028,docker-compose-rabbitmq-1,rabbitmq,4.52,111.8,7799.808,1.43,0,0,417
2026-01-30T03:47:19.350028,docker-compose-queue-master-1,queue-master,0.12,657.7,7799.808,8.43,0,0,51
2026-01-30T03:47:19.350028,docker-compose-shipping-1,shipping,0.16,353.7,7799.808,4.53,0,0,82
2026-01-30T03:47:19.350028,docker-compose-payment-1,payment,0.31,9.863,7799.808,0.13,0,0,30
2026-01-30T03:47:19.350028,docker-compose-user-1,user,0,9.809,7799.808,0.13,0,0,30
2026-01-30T03:47:27.073391,docker-compose-edge-router-1,edge-router,0.04,7.059,7799.808,0.09,0,0,31
2026-01-30T03:47:27.073391,docker-compose-carts-1,carts,0.29,379.4,7799.808,4.86,0,0,84
2026-01-30T03:47:27.073391,docker-compose-catalogue-1,catalogue,0,9.758,7799.808,0.13,0,0,30
2026-01-30T03:47:27.073391,docker-compose-carts-db-1,carts-db,0.47,55.27,7799.808,0.71,0,0,21
2026-01-30T03:47:27.073391,docker-compose-orders-db-1,orders-db,0.39,31.98,7799.808,0.41,0,0,21
2026-01-30T03:47:27.073391,docker-compose-front-end-1,front-end,0,63.15,7799.808,0.81,0,0,21
2026-01-30T03:47:27.073391,docker-compose-user-db-1,user-db,0.58,35.63,7799.808,0.46,0,0,18
2026-01-30T03:47:27.073391,docker-compose-orders-1,orders,0.17,367.5,7799.808,4.71,0,0,84
2026-01-30T03:47:27.073391,docker-compose-catalogue-db-1,catalogue-db,0.09,195.9,7799.808,2.51,0,0,27
2026-01-30T03:47:27.073391,docker-compose-rabbitmq-1,rabbitmq,6.19,111.4,7799.808,1.43,0,0,417
2026-01-30T03:47:27.073391,docker-compose-queue-master-1,queue-master,0.18,657.7,7799.808,8.43,0,0,51
2026-01-30T03:47:27.073391,docker-compose-shipping-1,shipping,0.63,354,7799.808,4.54,0,0,82
2026-01-30T03:47:27.073391,docker-compose-payment-1,payment,0,9.863,7799.808,0.13,0,0,30
2026-01-30T03:47:27.073391,docker-compose-user-1,user,0.09,9.805,7799.808,0.13,0,0,30
2026-01-30T03:47:34.740498,docker-compose-edge-router-1,edge-router,0.04,7.059,7799.808,0.09,0,0,31
2026-01-30T03:47:34.740498,docker-compose-carts-1,carts,0.18,379.4,7799.808,4.86,0,0,84
2026-01-30T03:47:34.740498,docker-compose-catalogue-1,catalogue,0,9.758,7799.808,0.13,0,0,30
2026-01-30T03:47:34.740498,docker-compose-carts-db-1,carts-db,0.46,55.26,7799.808,0.71,0,0,21
2026-01-30T03:47:34.740498,docker-compose-orders-db-1,orders-db,0.42,32.23,7799.808,0.41,0,0,21
2026-01-30T03:47:34.740498,docker-compose-front-end-1,front-end,0.12,63.3,7799.808,0.81,0,0,21
2026-01-30T03:47:34.740498,docker-compose-user-db-1,user-db,0.61,35.64,7799.808,0.46,0,0,18
2026-01-30T03:47:34.740498,docker-compose-orders-1,orders,0.17,367.5,7799.808,4.71,0,0,84
2026-01-30T03:47:34.740498,docker-compose-catalogue-db-1,catalogue-db,0.09,195.9,7799.808,2.51,0,0,27
2026-01-30T03:47:34.740498,docker-compose-rabbitmq-1,rabbitmq,4.03,111.2,7799.808,1.43,0,0,417
2026-01-30T03:47:34.740498,docker-compose-queue-master-1,queue-master,0.16,657.7,7799.808,8.43,0,0,51
2026-01-30T03:47:34.740498,docker-compose-shipping-1,shipping,0.15,353.7,7799.808,4.53,0,0,82
2026-01-30T03:47:34.740498,docker-compose-payment-1,payment,0,10.11,7799.808,0.13,0,0,30
2026-01-30T03:47:34.740498,docker-compose-user-1,user,0,9.566,7799.808,0.12,0,0,30
2026-01-30T03:47:42.410789,docker-compose-edge-router-1,edge-router,0.03,7.059,7799.808,0.09,0,0,31
2026-01-30T03:47:42.410789,docker-compose-carts-1,carts,0.16,379.4,7799.808,4.86,0,0,84
